company,first_name,last_name,phone,email,city,state,green_flags,dm_target,notes,source_url
FIT Medical Weight Loss,,,7196397989,,Colorado Springs,CO,GLP1|MULTI_LOCATION,Clinic lead,Springs FIT location; military and outdoor market angle is practical education and reliability,https://www.fitmedicalweightloss.com/Locations/Colorado-Springs-Colorado
Rose Medical Aesthetics,Amy,Wolthoff,7193725655,,Colorado Springs,CO,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner injector,Owner-named aesthetics practice; pitch personal service plus simple staff-ready treatment education,https://roseinjectables.com/
Rejuvenate Med Spa,,,7193750777,,Colorado Springs,CO,SKIN_TIGHTENING,Practice manager,Established Springs med spa; ask about seasonal promo cadence and body add-on appetite,https://www.rejuvenatemedspa.com/
Skinatomy,,,7194390999,,Colorado Springs,CO,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner / clinic lead,Wellness and aesthetics framing; connect patient education with body-confidence consults,https://skinatomy.com/
Alchemy Face Bar,,,3039970566,,Denver,CO,MULTI_LOCATION,Area manager,Multi-studio aesthetics brand; playbook consistency is the wedge for any new service line,https://alchemyfacebar.com/pages/denver
Alchemy Face Bar,,,7209409335,,Boulder,CO,MULTI_LOCATION,Studio lead,Boulder studio; call on repeatable scripting for wellness-minded clients asking about body options,https://alchemyfacebar.com/pages/boulder
Alchemy Face Bar,,,9708180999,,Fort Collins,CO,MULTI_LOCATION,Studio lead,Northern Colorado studio; smaller-team angle is fast onboarding and simple call tracks,https://alchemyfacebar.com/pages/fort-collins
Sculpted Colorado,,,3039557373,,Denver,CO,BODY|CELLULITE,Owner,Body-focused positioning; ask about before-after storytelling and expectation-setting,https://www.sculptedcolorado.com/
Ave Medical Aesthetics,,,3038055486,,Parker,CO,SKIN_TIGHTENING,Practice manager,Suburban med-spa audience; convenience and clear treatment education are likely to land,https://www.avemedical.com/
Elixir Medical Aesthetics,,,7193777416,,Monument,CO,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner,Community-oriented Monument practice; lead with local referral trust and easy staff training,https://www.elixir-medical.com/
FIT Medical Weight Loss,,,9706727205,,Fort Collins,CO,GLP1|MULTI_LOCATION,Clinic lead,Fort Collins FIT location; hybrid telehealth positioning makes follow-up education a strong angle,https://www.fitmedicalweightloss.com/Locations/Fort-Collins-Colorado
Synergy Face + Body,,,9709208224,,Aspen,CO,BODY|SKIN_TIGHTENING,GM / owner,Aspen luxury positioning; premium guest experience and body-confidence packages are the opener,https://synergyfaceandbody.com/the-aspen-spa/
Ignite Medical Spa,,,8559164426,,Westminster,CO,SKIN_TIGHTENING|MULTI_LOCATION,Owner / operations lead,Toll-free intake and multi-market model; confirm local decision path then use consistency angle,https://www.ignite-medical-spa.com/
Venus Medi Spa,,,7193944463,,Colorado Springs,CO,MORPHEUS8|BODY|SKIN_TIGHTENING,Practice manager / provider,Lists Morpheus8 Body and body contouring; ask if they want non-invasive cellulite and laxity coverage,https://www.venusmedispa.com/
Genesis MedSpa,,,7195796890,,Colorado Springs,CO,BODY|GLP1|MEDICAL_OVERSIGHT,Owner / practice manager,Established since 2007 with weight loss and body contouring; call on mature patient flow and service expansion,https://www.genesis-medspa.com/
Timeless Aesthetics,,,7194259336,,Colorado Springs,CO,GLP1|MORPHEUS8|BODY,Owner / clinic lead,Lists EvolveX and semaglutide together; strong body-after-weight-loss opener,https://www.timelessaestheticsllc.com/body/
Defiance Health,,,7194802400,,Centennial,CO,GLP1|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Clinical lead,GLP-1 plus Emsculpt Neo and body composition tracking; open on preserving confidence during weight loss,https://www.defiance-health.com/medical-aesthetics
AOB Med Spa,Kathi,Kotelko,3037775030,,Greenwood Village,CO,COOLSCULPTING|BODY|REVIEWS|MEDICAL_OVERSIGHT,Clinic director / owner,Top CoolSculpting practice with review volume; ask if they are evaluating non-cryo body tech,https://www.aobmedspa.com/
Ascent Trim & Wellness,,,7194458746,,Colorado Springs,CO,GLP1|BODY|CELLULITE|SKIN_TIGHTENING,Owner / clinical lead,GLP-1 programs plus RF skin tightening and EMS body work; highly aligned for T-Shape 2 education call,https://citysquares.com/b/ascent-trim-wellness-26952046
Premier MediSpa,Gregory,Bland,7195997768,,Colorado Springs,CO,COOLSCULPTING|EMSCULPT|BODY|CELLULITE|MEDICAL_OVERSIGHT,Medical director / owner,Body page lists EMSCULPT and CoolSculpting; technical comparison and cellulite gap are useful hooks,https://premedspa.com/body-sculpting-rejuvenation/
La Fontaine Aesthetics,Ken,Oleszek,3033554772,,Denver,CO,COOLSCULPTING|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Medical director,Physician-led Cherry Creek med spa with CoolSculpting Elite and Emsculpt; call on differentiated body platform mix,https://www.denverfusionspa.com/contact/
Body Massage Wellness Spa,,,3038932543,,Denver,CO,COOLSCULPTING|BODY,Owner / studio lead,Menu lists CoolSculpting and lipo laser; ask about stepping up from spa body services to a pro device story,https://bodymassagewellnessspa.com/med-spa/
Gleam Medical Spa,Brianna,Tonn,3035077823,info@gleammedspa.com,Denver,CO,EMSCULPT|BODY|REVIEWS,Contact / practice lead,Emsculpt NEO is a core offer; ask about clients asking for fat plus skin texture support,https://gleammedspa.com/services/emsculpt-neo-in-denver/
Glitzy MD,,,3039814485,info@glitzylashes.com,Denver,CO,GLP1|REVIEWS|MEDICAL_OVERSIGHT,Owner / clinic lead,Semaglutide and tirzepatide are front-and-center; use a post-weight-loss body option opener,https://glitzylashes.com/
SASA Med Spa,,,7203834451,druma@sasamedspa.com,Thornton,CO,GLP1|MEDICAL_OVERSIGHT,Owner / provider,Medical weight-loss pricing is explicit; ask whether they want a non-invasive body path for GLP-1 patients,https://sasamedspa.com/medical-weight-loss/
Health Now Med Spa,,,7203886332,,Englewood,CO,GLP1|MORPHEUS8|MEDICAL_OVERSIGHT,Owner / clinic manager,Public listing shows Morpheus8 and GLP-1; open on combining body contouring with skin-tightening demand,https://www.mapquest.com/us/colorado/health-now-med-spa-431116805
Xanadu Med Spa,,,9704821889,Info@XanaduMedSpa.com,Fort Collins,CO,GLP1|COOLSCULPTING|EMSCULPT|BODY|REVIEWS,Owner / medical director,Large Northern Colorado med spa with body and weight-loss stack; high-priority multi-modality comparison call,https://bodycontouring.xanadumedspa.com/contact/
Harmony Skin & Wellness Clinic,,,9702828266,,Fort Collins,CO,BODY|SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Owner / clinic manager,Woman-owned med spa with body contouring and long history; call on service-line modernization,https://harmonyskin.com/
Premier Skin Clinic,,,9702211285,,Fort Collins,CO,BODY|SKIN_TIGHTENING,Practice manager,Northern Colorado body-contouring spa; ask about demand for cellulite and laxity language,https://premierskinclinic.com/g-home/
RoyCe Spa & Aesthetics Main Fort Collins,,,9706664799,roycespafoco@gmail.com,Fort Collins,CO,BODY|MULTI_LOCATION,Owner / main location manager,Multi-location spa group adding body contouring; ask who owns the medical services roadmap,https://www.roycespas.com/body-contouring
RoyCe Spa & Aesthetics,,,9709885299,roycespaloveland@gmail.com,Loveland,CO,BODY|MULTI_LOCATION,Location manager,Loveland location within regional spa group; use expansion and training consistency angle,https://www.roycespas.com/body-contouring
RoyCe Spa & Aesthetics Midtown Fort Collins,,,9709887979,roycespamidtownfoco@gmail.com,Fort Collins,CO,BODY|MULTI_LOCATION,Location manager,Midtown Fort Collins location; ask if body-contouring launch needs stronger device differentiation,https://www.roycespas.com/body-contouring
Me Wellness & Med Spa,,,9708934613,info@mewellnessandmedspa.com,Fort Collins,CO,GLP1|MEDICAL_OVERSIGHT,Owner / clinic lead,Medical weight-loss and hormone clinic; opener is body-confidence add-ons after metabolic progress,https://www.n49.com/biz/6626687/me-wellness-med-spa-co-fort-collins-2580-e-harmony-rd/
Simply MedSpa,,,7194337700,,Colorado Springs,CO,GLP1|EMSCULPT|MORPHEUS8|BODY|MEDICAL_OVERSIGHT,Owner / operations lead,Comprehensive med spa with Emsculpt Neo and semaglutide; strong fit for device-stack comparison,https://simplymedspa.com/
LightRx Colorado Springs,,,7193558459,,Colorado Springs,CO,BODY|CELLULITE|SKIN_TIGHTENING|MULTI_LOCATION,Clinic director,Body contouring and cellulite reduction are core services; ask if they need a stronger laxity story,https://www.lightrx.com/locations/colorado-springs/
ZenVita MedSpa,Keysha,Griffin,7202248024,zenvitamedspa@gmail.com,Aurora,CO,GLP1|BODY|MEDICAL_OVERSIGHT,NP founder,NP-led med spa with medical weight management and body treatments; direct fit for T-Shape 2 discovery,https://www.zenvitamedspa.com/contactus
Enlighten Tan & Med Spa,,,7205996340,info@EnlightenTanSpa.com,Aurora,CO,EMSCULPT|BODY|CELLULITE|SKIN_TIGHTENING,Owner / spa manager,Aurora med spa lists Emsculpt and cellulite/fat services; ask about non-invasive tightening demand,https://www.enlightentanspa.com/
Defy Medical Spa,Lisa,Gieseke,7202880880,,Denver,CO,GLP1|BODY|SKIN_TIGHTENING|MEDICAL_OVERSIGHT,Owner / doctor,Semaglutide and Venus body sculpting are visible; lead with treatment mix and patient education,https://www.defymedicalspa.com/
NuWave Cryotherapy Skin & Light Spa,,,7195964444,,Colorado Springs,CO,BODY|CELLULITE|SKIN_TIGHTENING,Owner / studio lead,Cryo and non-surgical body sculpting profile; ask about moving from wellness sessions to a medical-aesthetic device,https://www.startus.cc/company/nuwave-cryotherapy-skin-light-spa
Springs Body Sculpting,,,7193870630,,Colorado Springs,CO,BODY,Owner / studio lead,Body-sculpting med spa with direct contouring focus; opening question is what device lane is missing now,https://www.startus.cc/company/springs-body-sculpting
Refine Aesthetics,,,7193319483,,Colorado Springs,CO,COOLSCULPTING|BODY,Owner / provider,CoolSculpting is listed for fat loss and body contouring; use non-cryo and skin texture as the gap,https://www.mylocalservices.com/Refine%2BAesthetics-Colorado%2BSprings-Colorado-22984887.html
Natura Med Spa & IV Bar,,,7205135786,,Aurora,CO,GLP1|BODY|MEDICAL_OVERSIGHT|MULTI_LOCATION,Operations lead,Two Colorado locations and med-spa IV bar model; ask who evaluates new device economics,https://naturamedspaivbar.com/contact/
Redwood Medical,,,7204853178,info@redwood-medical.com,Castle Rock,CO,GLP1|MEDICAL_OVERSIGHT|REVIEWS,Owner / physician,Physician-operated medical weight-loss clinic; opener is referral path for body confidence after GLP-1 progress,https://semaglutidenearme.org/places/redwood-medical/
Rejuvenate MedSpa,,,3032796100,,Golden,CO,BODY|SKIN_TIGHTENING|MULTI_LOCATION,Practice manager,Regional med-spa group with multiple CO locations; ask if body treatment messaging is standardized,https://www.rejuvenatecolorado.com/contact/
Rejuvenate MedSpa,,,3039512102,,Denver,CO,BODY|SKIN_TIGHTENING|MULTI_LOCATION,Practice manager,Cherry Creek Rejuvenate location; use multi-location service rollout as the wedge,https://www.rejuvenatecolorado.com/contact/
Rejuvenate MedSpa,,,7193801823,,Colorado Springs,CO,BODY|SKIN_TIGHTENING|MULTI_LOCATION,Practice manager,Colorado Springs Rejuvenate location; ask about launch support and local staff training,https://www.rejuvenatecolorado.com/contact/
Redbud Medical Spa,,,7205938844,service@redbudmedicalspa.com,Denver,CO,GLP1|MEDICAL_OVERSIGHT,Owner / clinic lead,Semaglutide and hormone wellness profile; bridge from whole-human wellness to non-invasive body confidence,https://semaglutidenearme.org/places/redbud-medical-spa/
Sculpted MD,,,7204547996,,Castle Rock,CO,GLP1,Clinic director,Semaglutide clinic page targets Castle Rock; ask if they receive requests for skin or contouring after weight loss,https://www.sculptedmd.com/colorado/castle-rock/semaglutide/
